contradiction || this church choir sings to the masses as they sing joyous songs from the book at a church. || the church has cracks in the ceiling.
neutral || a person sitting on a rock beside a waterfall. || a person is taking a break from walking
entailment || a person sitting on a rock beside a waterfall. || a person is near water
neutral || a person sitting on a rock beside a waterfall. || the person is going for a run
entailment || a woman finishing a marathon race. || a woman is finishing a race.
neutral || a woman finishing a marathon race. || the woman is in first place.
contradiction || a woman finishing a marathon race. || the woman is not going to finish the race.
contradiction || two men shining peoples shoes. || two men fighting over ice cream.
neutral || two men shining peoples shoes. || two men shining shoes in the plaza.
neutral || two men shining peoples shoes. || two men shining shoes.
entailment || a man examines a bike during a yard sale. || a man is at a yard sale
entailment || a man examines a bike during a yard sale. || a woman examines a bike
neutral || a man examines a bike during a yard sale. || the man wants to buy a bike
neutral || a young man is standing near his bike outside a shop called, "sara's old fashioned ice cream." || the man is old.
contradiction || a young man is standing near his bike outside a shop called, "sara's old fashioned ice cream." || the young man is getting ice cream.
entailment || a young man is standing near his bike outside a shop called, "sara's old fashioned ice cream." || the young man is standing.
entailment || a man in a gray shirt and blue shorts is standing outside of an old fashioned ice cream shop named sara's old fashioned ice cream, holding his bike up, with a wood like table, chairs, benches in front of him. || a man is running on foot
entailment || a man in a gray shirt and blue shorts is standing outside of an old fashioned ice cream shop named sara's old fashioned ice cream, holding his bike up, with a wood like table, chairs, benches in front of him. || a man is riding his bike
entailment || a man in a gray shirt and blue shorts is standing outside of an old fashioned ice cream shop named sara's old fashioned ice cream, holding his bike up, with a wood like table, chairs, benches in front of him. || a man is holding a bike up
contradiction || two men work outside polishing shoes. || some men are polishing the shoes of business men.
contradiction || two men work outside polishing shoes. || some men are watching tv together.
contradiction || two men work outside polishing shoes. || some men are polishing shoes.
entailment || a girl making a snow angel, wearing a black hat and glasses. || a girl is outside in the snow.
entailment || a girl making a snow angel, wearing a black hat and glasses. || a girl is on a snowy mountain.
contradiction || a girl making a snow angel, wearing a black hat and glasses. || a girl is at the beach.
neutral || an elderly couple in heavy coats are looking at black and white photos displayed on a wall. || the old lovers showing black and white photographs of them in their youth.
neutral || an elderly couple in heavy coats are looking at black and white photos displayed on a wall. || octogenarians admiring the old photographs that decorated th wall.
neutral || an elderly couple in heavy coats are looking at black and white photos displayed on a wall. || sandwiches nailed to the wall were commonly mistaken as pictures by the visiting tourists.
neutral || a shirtless man rock climbs. || a man is doing his hobby
entailment || a shirtless man rock climbs. || a woman is climbing stairs
entailment || a shirtless man rock climbs. || a man is outside
entailment || a dog plays with a stuffed animal. || the animal is indoors.
neutral || a dog plays with a stuffed animal. || the dog is enjoying himself.
neutral || a dog plays with a stuffed animal. || the dog is chewing on his toy.
contradiction || a skateboarder sails over white steps. || the skater was elated.
neutral || a skateboarder sails over white steps. || the skater jumped high over the steps.
entailment || a skateboarder sails over white steps. || the dog jumped over the steps.
entailment || two men in hard hats look at a building while on the side of a street. || 2 male humans are sleeping.
entailment || two men in hard hats look at a building while on the side of a street. || 2 male humans are working construction.
entailment || two men in hard hats look at a building while on the side of a street. || 2 male humans are outside with a hat on.
neutral || a man looks back while laughing and walking. || a man walks and hears a funny joke and starts to laugh.
contradiction || a man looks back while laughing and walking. || a man is falling down on the ground.
entailment || a man looks back while laughing and walking. || a man is looks behind his shoulder to laugh.
contradiction || a happy woman quite stands in front of a business that displays a closed sign and looks very animated. || a woman stands by a business.
contradiction || a happy woman quite stands in front of a business that displays a closed sign and looks very animated. || a woman sings to herself.
neutral || a happy woman quite stands in front of a business that displays a closed sign and looks very animated. || a woman happily stands by a bussiness showing a closed sign and looks very colorful.
entailment || a woman in a dress is singing and having a good time. || a woman is singing.
contradiction || a woman in a dress is singing and having a good time. || a woman is having a bad time singing.
neutral || a woman in a dress is singing and having a good time. || a woman is singing karaoke.
entailment || a dog is walking down steps. || an animal is walking.
neutral || a dog is walking down steps. || a large dog is walking down the front steps.
contradiction || a dog is walking down steps. || a dog is laying on the couch.
entailment || women sitting at steel table next to a man standing and holding his bicep. || a women is holding a mans bicep
neutral || women sitting at steel table next to a man standing and holding his bicep. || the man and women are married and she is showing off his arms
neutral || women sitting at steel table next to a man standing and holding his bicep. || the man accidentally knocked the women out
entailment || a large display of artifacts are in a large room and around a very large display are six people with two people near wooden benches. || people throw things at the display
entailment || a large display of artifacts are in a large room and around a very large display are six people with two people near wooden benches. || people stand in front of a display
neutral || a large display of artifacts are in a large room and around a very large display are six people with two people near wooden benches. || people stand in front of the new display
entailment || a man talks to two guards as he holds a drink. || the man is holding a drink.
contradiction || a man talks to two guards as he holds a drink. || the man is scuba diving.
contradiction || a man talks to two guards as he holds a drink. || the prisoner is talking to two guards in the prison cafeteria.
entailment || a blue light rail tram goes down a busy street while pedestrians wait to cross. || a blue tram goes down the street while pedestrians sight-see.
neutral || a blue light rail tram goes down a busy street while pedestrians wait to cross. || pedestrians wait for the tram to pass before crossing the street.
contradiction || a blue light rail tram goes down a busy street while pedestrians wait to cross. || a blue tram goes down an empty street with no one around.
entailment || a woman and a baby are watching a boy play. || a woman and a baby watching
neutral || a woman and a baby are watching a boy play. || the woman is his mother
contradiction || a woman and a baby are watching a boy play. || the woman is asleep at home
neutral || a young woman wearing a yellow shirt and off-white shorts is reading a book while sitting on a park bench. || a woman reading a book while she sits on a bench waiting for the bus.
contradiction || a young woman wearing a yellow shirt and off-white shorts is reading a book while sitting on a park bench. || a woman reading a book while sitting on a bench.
contradiction || a young woman wearing a yellow shirt and off-white shorts is reading a book while sitting on a park bench. || a man reading a book while sitting on a bench.
contradiction || it looks like the clown has fallen off the horse. || the clown has fallen off the horse.
entailment || it looks like the clown has fallen off the horse. || the cowboy rode the bull to the buzzer.
neutral || it looks like the clown has fallen off the horse. || the sad clown fell off the horse at the state fair rodeo.
neutral || a man in a business suit screaming at the camera. || a business man is giving a heated interview for the local news.
contradiction || a man in a business suit screaming at the camera. || a woman is yelling at a camera.
contradiction || a man in a business suit screaming at the camera. || a man is yelling at a camera.
neutral || a group of chinese people sitting and laying down together on what appears to be a front porch. || a group of chinese people are hanging out on a porch.
neutral || a group of chinese people sitting and laying down together on what appears to be a front porch. || the chinese people on the porch are family members.
contradiction || a group of chinese people sitting and laying down together on what appears to be a front porch. || a group of african american people are eating dinner at kfc.
entailment || a child making a sand castle on the beach. || a child uses their imagination.
entailment || a child making a sand castle on the beach. || a child on a beach.
contradiction || a child making a sand castle on the beach. || a child doing homework.
entailment || two dirt bikers- one in black and red, sporting number 64, the other in blue and white displaying a red "21"- round the corner of a tree-lined track. || there are two people and two motorbikes in this picture.
neutral || two dirt bikers- one in black and red, sporting number 64, the other in blue and white displaying a red "21"- round the corner of a tree-lined track. || one man pushes the other man down the hill on the sled as onlookers laugh.
neutral || two dirt bikers- one in black and red, sporting number 64, the other in blue and white displaying a red "21"- round the corner of a tree-lined track. || the two bikers, both friends and competitors, round the final curve of the final race of the season.
contradiction || a man wearing a white shirt and black pants is falling down onto a bed in front of a window facing the ocean. || a man falls down onto his bed
contradiction || a man wearing a white shirt and black pants is falling down onto a bed in front of a window facing the ocean. || a woman falls into a bed
contradiction || a man wearing a white shirt and black pants is falling down onto a bed in front of a window facing the ocean. || a man falls down onto a bed
neutral || two girls (one dressed in blue, and one dressed in pink) are racing one another on rollerskates. || the winner gets a free soda.
neutral || two girls (one dressed in blue, and one dressed in pink) are racing one another on rollerskates. || two girls are in a race.
contradiction || two girls (one dressed in blue, and one dressed in pink) are racing one another on rollerskates. || the girls are racing on jetskis.
neutral || a young woman wearing jeans and a gray sweater walks across an empty street. || a woman is on her way home.
contradiction || a young woman wearing jeans and a gray sweater walks across an empty street. || a young woman is standing on her hands.
entailment || a young woman wearing jeans and a gray sweater walks across an empty street. || a woman is walking.
neutral || a man with a large mustache watches the barber conduct his work through the mirror that faces him. || a man is getting his face shaved for his party.
entailment || a man with a large mustache watches the barber conduct his work through the mirror that faces him. || two people are near each other.
contradiction || a man with a large mustache watches the barber conduct his work through the mirror that faces him. || the two men are playing a game of football.
contradiction || woman wearing green pants, blue jacket and sunhat carrying food in baskets that are hung over her shoulder. || they walk along carrying a bounty of food
neutral || woman wearing green pants, blue jacket and sunhat carrying food in baskets that are hung over her shoulder. || the friends retire home after going to the farmer's market
neutral || woman wearing green pants, blue jacket and sunhat carrying food in baskets that are hung over her shoulder. || they fight over the food they bought
entailment || two people wearing green raincoats sit in blue bleachers that are otherwise empty. || two people sit on bleachers
neutral || two people wearing green raincoats sit in blue bleachers that are otherwise empty. || two women in raincoat sit on the bleachers an hour before the football game.
contradiction || two people wearing green raincoats sit in blue bleachers that are otherwise empty. || three men fall a sleep on green bleachers.
entailment || a road crew is working on a road with equipment around them. || a crew is working.
entailment || a road crew is working on a road with equipment around them. || a road crew in orange vests are working on a road with equipment around them.
contradiction || a road crew is working on a road with equipment around them. || a group of men are sitting around a conference table.
contradiction || a younger couple is walking across a crosswalk outside with a very busy bus stop behind them. || the couple are walking away from the wrong bus stop.
entailment || a younger couple is walking across a crosswalk outside with a very busy bus stop behind them. || there are people outside.
entailment || a younger couple is walking across a crosswalk outside with a very busy bus stop behind them. || there are people inside of a store.
contradiction || two men in black jackets behind a white handrail. || two women are wearing red
contradiction || two men in black jackets behind a white handrail. || the two me are wearing black jackets
neutral || two men in black jackets behind a white handrail. || the two men are friends
entailment || an elderly woman walking down the street. || an elderly woman is shown outside.
neutral || an elderly woman walking down the street. || an elderly woman is enjoying coffee at home.
neutral || an elderly woman walking down the street. || an elderly woman is walking to her doctors appointment.
entailment || an old woman walking down the street. || a human in motion.
neutral || an old woman walking down the street. || a woman on her way to church.
contradiction || an old woman walking down the street. || a young women walking down the street.
entailment || a man holding a sign of a rainbow elephant. || the donkey sign is smeared with paint.
neutral || a man holding a sign of a rainbow elephant. || the person is a gay republican.
entailment || a man holding a sign of a rainbow elephant. || the person holds a sign.
entailment || a man playing fetch with two brown dogs. || a man has two dogs playing.
neutral || a man playing fetch with two brown dogs. || the dogs are adopted.
contradiction || a man playing fetch with two brown dogs. || the dogs are asleep.
contradiction || a man dressed all in black puts his hands on an art sculpture. || the man is stealing a sculpture
entailment || a man dressed all in black puts his hands on an art sculpture. || there is a sculture
contradiction || a man dressed all in black puts his hands on an art sculpture. || the man is robbing a bank
contradiction || this child is getting a pedicure. || child getting a manicure.
contradiction || this child is getting a pedicure. || child getting pedicure.
neutral || this child is getting a pedicure. || child getting pedicure with mother.
contradiction || a black-haired woman with her hair in a high bun is having her head shaved by another woman. || everybody is bald
entailment || a black-haired woman with her hair in a high bun is having her head shaved by another woman. || a person with hair
neutral || a black-haired woman with her hair in a high bun is having her head shaved by another woman. || a tall person with hair
contradiction || instructor on basket weaving at fair || a basket weaver sitting at home.
neutral || instructor on basket weaving at fair || a basket weaving instructor at the fair.
neutral || instructor on basket weaving at fair || a basket weaver teaching a class at the fair.
neutral || two men, one in a blue shirt and one in a green shirt analyze a piece of paper in the middle of a workshop area. || the coworkers are discussing a work related paper in their shop.
neutral || two men, one in a blue shirt and one in a green shirt analyze a piece of paper in the middle of a workshop area. || the guys are having a party at the park.
neutral || two men, one in a blue shirt and one in a green shirt analyze a piece of paper in the middle of a workshop area. || the men are discussing their blueprints.
neutral || a person with braided hair and a gray sweatshirt covers his mouth and sits in a purple chair. || a man sits in a chair on a dating show.
contradiction || a person with braided hair and a gray sweatshirt covers his mouth and sits in a purple chair. || a man sits in a purple chair.
contradiction || a person with braided hair and a gray sweatshirt covers his mouth and sits in a purple chair. || a bald man sits in a red chair.
entailment || a wall hung with multicolored crosses is visible behind the group of young men as they converse. || young men are talking
neutral || a wall hung with multicolored crosses is visible behind the group of young men as they converse. || young men are talking abuot love
entailment || a wall hung with multicolored crosses is visible behind the group of young men as they converse. || young woman are walking
entailment || a small girl is swinging. || a young lady plays outside
entailment || a small girl is swinging. || a child swings
contradiction || a small girl is swinging. || a puppy barks at a girl
contradiction || a group of men playing rugby on the sand. || a group of woman play volleyball in a court.
neutral || a group of men playing rugby on the sand. || a rugby team plays a match at the beach.
contradiction || a group of men playing rugby on the sand. || a group of men playing sports in the sand.
neutral || beautiful girl in white dress steps into the sunlight. || it is a sunny day.
entailment || beautiful girl in white dress steps into the sunlight. || a girl is wearing a dress.
neutral || beautiful girl in white dress steps into the sunlight. || it is late at night.
entailment || a bundled up toddler is walking over snow. || a toddler is outside.
neutral || a bundled up toddler is walking over snow. || a toddler is very cold.
entailment || a bundled up toddler is walking over snow. || a toddler walking in sand.
neutral || a robed dancer holding fire stick entertains a crowd. || a fire performer performing before a crowd.
contradiction || a robed dancer holding fire stick entertains a crowd. || a man in pants and a t-shirt doing fire tricks.
neutral || a robed dancer holding fire stick entertains a crowd. || a dancer about to breath fire out before the crowd.
entailment || a topless man straps surfboards on top of his blue car. || a man secures surfboards on his car.
neutral || a topless man straps surfboards on top of his blue car. || a man is heading out to the beach for a day of surfing.
contradiction || a topless man straps surfboards on top of his blue car. || a man is sitting on the couch.
contradiction || a woman is using a small scissors on a large net. || a woman is using small scissors on a basketball net.
entailment || a woman is using a small scissors on a large net. || a woman is using tape on a large net.
entailment || a woman is using a small scissors on a large net. || a woman is using small cutting utensils on a large net.
contradiction || two men heavily immersed in a conversation worth having. || the men are sitting in silence.
entailment || two men heavily immersed in a conversation worth having. || two men are talking.
neutral || a child bowling at the bowling alley. || a professional bowling team wins the championship.
neutral || a child bowling at the bowling alley. || a girl is bowling against her daddy.
entailment || a group of people celebrating in the street. || there is a celebration going on
neutral || a group of people celebrating in the street. || people are celebrating their friend's birthday
neutral || a group of people celebrating in the street. || people got shot by a sniper and dide
contradiction || three young men in a kitchen standing around a stove, one of them is stirring something in a pot. || the men are cooking dinner.
contradiction || three young men in a kitchen standing around a stove, one of them is stirring something in a pot. || three guys are in a swimming pool.
entailment || three young men in a kitchen standing around a stove, one of them is stirring something in a pot. || three people are standing inside a house near each other.
contradiction || two women wearing red are smiling at the camera. || smiling at the camera the two women wore red
contradiction || two women wearing red are smiling at the camera. || with their backs turned to the camera were two women wearing blue dresses
entailment || two women wearing red are smiling at the camera. || posing for a picture the woman wore the same red smock
neutral || a long jumper takes flight in an attempt to jump the longest distance possible in a track competition. || a long jumper tries to beat the person before him, but he hasn't performed well recently.
entailment || a long jumper takes flight in an attempt to jump the longest distance possible in a track competition. || there is someone attempting to jump.
entailment || a long jumper takes flight in an attempt to jump the longest distance possible in a track competition. || a long jumper is jumping a hurdle.
contradiction || a man and woman look through cd's at a street vendor. || a man and women laying down in bed
contradiction || a man and woman look through cd's at a street vendor. || a man and women taking a break
entailment || a man and woman look through cd's at a street vendor. || a man and women shopping
neutral || six people are riding camels and being led in a straight line across a gently rising sandy slope with mountains in the background, by a man walking and holding the tether of the lead camel. || many people are searching for an oasis in the desert.
contradiction || six people are riding camels and being led in a straight line across a gently rising sandy slope with mountains in the background, by a man walking and holding the tether of the lead camel. || many people are lying in the sun at the park.
neutral || six people are riding camels and being led in a straight line across a gently rising sandy slope with mountains in the background, by a man walking and holding the tether of the lead camel. || many people are being led through the desert on the backs on camels.
contradiction || a little girl in a colorful shirt holding a flower. || the girl is holding a dead animal
neutral || a little girl in a colorful shirt holding a flower. || the girl is cute
entailment || a little girl in a colorful shirt holding a flower. || the girl is holding a flower
neutral || this person is walking down the street and talking on their cellphone on a windy day. || the person on the phone is complaining about how windy it is outside.
neutral || this person is walking down the street and talking on their cellphone on a windy day. || the person is suddenly picked up by a strong gust of wind and slammed into the side of a building.
entailment || this person is walking down the street and talking on their cellphone on a windy day. || there is a person talking on the phone.
contradiction || three people are posing on the side of a mountain. || the dogs are posing at the mountain.
neutral || three people are posing on the side of a mountain. || they are all smiling.
contradiction || three people are posing on the side of a mountain. || the three people are posing at the mountain.
entailment || young girl in an bathing suit falling off the end of a slide into a pool. || a child is moving swiftly toward a body of water.
contradiction || young girl in an bathing suit falling off the end of a slide into a pool. || a dog sits quietly by the dinner table, eyeing the plates of food.
neutral || young girl in an bathing suit falling off the end of a slide into a pool. || a child at a birthday party, plays with other children, laughing and screaming.
entailment || naked children play on the muddy riverbank. || the riverbank was played on by nudity of kids
contradiction || naked children play on the muddy riverbank. || the nude kids played on the riverbank  in the mud just to have a mud bath
neutral || naked children play on the muddy riverbank. || the riverbank stayed clean everyday
contradiction || a female swimmer wearing a pink costume comes out of the water in a pool, making a splash. || there is a woman swimming.
neutral || a female swimmer wearing a pink costume comes out of the water in a pool, making a splash. || the synchronized swimmer is performing at the olympics.
contradiction || a female swimmer wearing a pink costume comes out of the water in a pool, making a splash. || a woman is laying on the beach.
entailment || a silhouette of a man fishing. || a man is fishing.
neutral || a silhouette of a man fishing. || a man took a fishing trip.
contradiction || a silhouette of a man fishing. || a man is sleeping.
neutral || a man hammering nails on a shed. || the man is making repairs.
neutral || a man hammering nails on a shed. || the man is a handyman.
contradiction || a man hammering nails on a shed. || the shed is made of t-shirts.
contradiction || a person enjoys a beautiful sunny day paragliding. || the person is swimming.
entailment || a person enjoys a beautiful sunny day paragliding. || a person is enjoying the scenery.
contradiction || a person enjoys a beautiful sunny day paragliding. || the person is dead.
entailment || two casually-dressed men, one in a cowboy hat and one in a baseball cap, make their way through a crowd. || a man is wearing a cowboy hat.
entailment || two casually-dressed men, one in a cowboy hat and one in a baseball cap, make their way through a crowd. || there is crowd.
contradiction || two casually-dressed men, one in a cowboy hat and one in a baseball cap, make their way through a crowd. || the cap is a yankee cap.
contradiction || asian class posing for picture with stormtrooper || the class is holding hands.
contradiction || asian class posing for picture with stormtrooper || the storm strooper is attacking the children.
entailment || asian class posing for picture with stormtrooper || the stormtrooper is being photographed.
contradiction || a police officer standing next his police motorbike holding a yellow safety jacket. || a man driving a car.
neutral || a police officer standing next his police motorbike holding a yellow safety jacket. || a police officer and his motorbike.
neutral || a police officer standing next his police motorbike holding a yellow safety jacket. || a motorcycle officer getting ready for patrol.
neutral || two young girls in bathing suits laugh while standing under a fountain of water. || two young girls in bathing suits are standing under a fountain of water at an amusement park with their family.
entailment || two young girls in bathing suits laugh while standing under a fountain of water. || two young girls are standing under a fountain of water.
contradiction || two young girls in bathing suits laugh while standing under a fountain of water. || two young girls are riding roller coasters.
contradiction || a man wearing a business suit holds up a drink as the other laughs. || some men drinking at the bar together
entailment || a man wearing a business suit holds up a drink as the other laughs. || a man drinking with others
contradiction || a man wearing a business suit holds up a drink as the other laughs. || the man is crying and writing
neutral || clowning around in the bathroom, toothpaste makeup! || fooling around in the bathroom getting ready for school
contradiction || clowning around in the bathroom, toothpaste makeup! || fooling around in the bedroom
entailment || clowning around in the bathroom, toothpaste makeup! || fooling around in the bathroom
entailment || a woman tired from her long day takes a nap on her bed above the sheets and covers. || a woman rides a horse on the beach.
entailment || a woman tired from her long day takes a nap on her bed above the sheets and covers. || a lady is lying in bed.
contradiction || a woman tired from her long day takes a nap on her bed above the sheets and covers. || an elderly woman is taking a nap.
entailment || a woman outside in the snow holds a container that produces steam. || a human in snow.
neutral || a woman outside in the snow holds a container that produces steam. || a women about to make hot water turn into snow by throwing the hot water in the air.
contradiction || a woman outside in the snow holds a container that produces steam. || a woman outside in the hot sand.
entailment || you can see the bottom halves of three boys standing on a sidewalk with silly string sprayed everywhere || there are three boys standing.
contradiction || you can see the bottom halves of three boys standing on a sidewalk with silly string sprayed everywhere || the boys are sitting down.
neutral || you can see the bottom halves of three boys standing on a sidewalk with silly string sprayed everywhere || the sidewalk is in new york.
entailment || a man wearing a checkered shirt, cream suit and tennis shoes sits on a bench. || the guy in funky clothes is on the bench
neutral || a man wearing a checkered shirt, cream suit and tennis shoes sits on a bench. || the guy is on the bench waiting for his wife
contradiction || a man wearing a checkered shirt, cream suit and tennis shoes sits on a bench. || the guy is on the cow
neutral || a man siting on a bench with a briefcase. || the man is waiting for the bus to take him to the airport.
entailment || a man siting on a bench with a briefcase. || the man is walking up the stairs.
neutral || a man siting on a bench with a briefcase. || the man is outdoors with his briefcase.
contradiction || person in yellow t-shirt is sleeping. || a person is sleeping on a park bench.
contradiction || person in yellow t-shirt is sleeping. || a person is napping.
neutral || person in yellow t-shirt is sleeping. || a person is dancing at a rave.
contradiction || some folks pick out the food they want at a party. || a study group sits at a table in the library.
neutral || some folks pick out the food they want at a party. || the party-goers are perusing the buffet.
neutral || the blond girl is opening her drink as she speaks to the person with her. || the girl is talking to someone while opening a drink.
neutral || the blond girl is opening her drink as she speaks to the person with her. || a girl is opening a diet coke while talking to her boyfriend.
contradiction || the blond girl is opening her drink as she speaks to the person with her. || a man is eating dinner at a restaurant.
neutral || group of men standing in a meeting room, talking. || a group of men are discussing business.
contradiction || group of men standing in a meeting room, talking. || a group of men are scuba diving.
neutral || group of men standing in a meeting room, talking. || a group of men are talking to each other.
entailment || a woman swings on a rope overlooking a red farmhouse and gated pastures and tall trees. || a woman is outside
entailment || a woman swings on a rope overlooking a red farmhouse and gated pastures and tall trees. || the woman is hanging out with her kids
contradiction || a woman swings on a rope overlooking a red farmhouse and gated pastures and tall trees. || the woman cooked a apple pie
contradiction || a woman smiles while she opens a red package in front of a table with yarn and glass of liquid on it. || the woman is yelling at the package.
neutral || a woman smiles while she opens a red package in front of a table with yarn and glass of liquid on it. || the woman is about to open the package.
entailment || a woman smiles while she opens a red package in front of a table with yarn and glass of liquid on it. || the woman is smiling at a package.
entailment || a man and a young girl swimming. || a man and girl swim
neutral || a man and a young girl swimming. || a father and daughter swim together
neutral || a man and a young girl swimming. || a mother and son eating lunch
neutral || a man in a competitive field sport jumps into sand and his glasses fall off. || a woman hurdler trips over a hurdle.
neutral || a man in a competitive field sport jumps into sand and his glasses fall off. || a long jumper's glasses fall off.
neutral || a man in a competitive field sport jumps into sand and his glasses fall off. || a man's glasses fall off.
contradiction || people checking out a car with all its doors open in a parking lot in the city. || a car door has not been shut
contradiction || people checking out a car with all its doors open in a parking lot in the city. || someone is blowing up the car with bombs
neutral || people checking out a car with all its doors open in a parking lot in the city. || people are admiring the car
neutral || a man in a dark long rainproof jacket but dry hair walks to the left in a city that has recently rained. || the man is forty
entailment || a man in a dark long rainproof jacket but dry hair walks to the left in a city that has recently rained. || a man is walking
entailment || a man in a dark long rainproof jacket but dry hair walks to the left in a city that has recently rained. || the man is sitted in the bar
contradiction || a snowboarder wearing a green hat is riding along a metal railing. || a man is riding a riding a bicycle through the park.
neutral || a snowboarder wearing a green hat is riding along a metal railing. || a snowboarder in a green hat rides along a metal railing in a competition.
neutral || a snowboarder wearing a green hat is riding along a metal railing. || a snowboarder is riding along a metal railing while wearing a green hat.
neutral || two nhl hockey players prepare to fight over a puck during a face off. || the ballerinas have words before the recitial.
neutral || two nhl hockey players prepare to fight over a puck during a face off. || the players start a fight to continue a previous disagreement.
neutral || two nhl hockey players prepare to fight over a puck during a face off. || the players vigarously compete in their game.
entailment || three bridesmaids in blue dresses hold the train of a bride's wedding dress. || the bridesmaids are assisting the bride.
contradiction || three bridesmaids in blue dresses hold the train of a bride's wedding dress. || the three women are exercising in an aerobics class.
neutral || three bridesmaids in blue dresses hold the train of a bride's wedding dress. || the people are practicing at a wedding recital.
entailment || man recording a video of a woman. || a woman is unknowing being recorded by a man.
neutral || man recording a video of a woman. || a man is taking a woman on a date.
entailment || man recording a video of a woman. || a woman is being recorded by a man.
contradiction || little boy getting soaked playing an outdoor water game. || a girl is playing the piano in her living room.
entailment || little boy getting soaked playing an outdoor water game. || a little boy is wet outside.
neutral || little boy getting soaked playing an outdoor water game. || a little boy is running through the sprinkler with his friends.
contradiction || firefighters in full gear are walking up a ladder. || the firefighters are eating lunch.
neutral || firefighters in full gear are walking up a ladder. || the firefighers are ready to fight a fire.
neutral || firefighters in full gear are walking up a ladder. || the firefighters are trying to save a child.
neutral || a girl with curly hair and wearing a patriotic shirt is looking at a monarch butterfly sitting on her left index finger. || a girl and a butterfly
neutral || a girl with curly hair and wearing a patriotic shirt is looking at a monarch butterfly sitting on her left index finger. || a girl captures a butterfly for a science fair project
contradiction || a girl with curly hair and wearing a patriotic shirt is looking at a monarch butterfly sitting on her left index finger. || a girl drinks a milkshake
contradiction || a chef in a kitchen cuts a piece off of a large slab of rotating meat on a stick, probably lamb. || the chef is sleeping in his canoe.
neutral || a chef in a kitchen cuts a piece off of a large slab of rotating meat on a stick, probably lamb. || a chef is cooking up a 6-course menu for his close friends.
entailment || a chef in a kitchen cuts a piece off of a large slab of rotating meat on a stick, probably lamb. || a human being is in a kitchen with meat in front of him.
entailment || three young people are sitting in a room and talking to one another. || there are people indoors.
contradiction || three young people are sitting in a room and talking to one another. || there are people watching tv
contradiction || three young people are sitting in a room and talking to one another. || three students are studying for a test
neutral || a gymnast is seen defying gravity as she performs an impressive move several feet above the parallel bars. || the gymnast is a woman
entailment || a gymnast is seen defying gravity as she performs an impressive move several feet above the parallel bars. || a gymanst performing
contradiction || a gymnast is seen defying gravity as she performs an impressive move several feet above the parallel bars. || the gymnast is taking a shower
neutral || a gymnastics performer is in mid-pose as she completes her jump. || a gymnast is completing her jump.
entailment || a gymnastics performer is in mid-pose as she completes her jump. || a gymnastics performer is stretching.
neutral || a gymnastics performer is in mid-pose as she completes her jump. || a gymnast is completing her jump in the finals.
contradiction || a person with brown hair wearing a blue shirt and purple bandanna around their neck is chiseling a design into a round, brick pillar. || the person with a purple bandanna is taking a nap.
neutral || a person with brown hair wearing a blue shirt and purple bandanna around their neck is chiseling a design into a round, brick pillar. || the brown haired person is a stone mason working on a reconstruction project.
contradiction || a person with brown hair wearing a blue shirt and purple bandanna around their neck is chiseling a design into a round, brick pillar. || the person wearing a blue shirt is chiseling on a brick pillar.
neutral || a man and a woman cutting dough. || a husband and wife making pizza.
entailment || a man and a woman cutting dough. || some dough being cut by a man and woman.
contradiction || a man and a woman cutting dough. || a man and woman eating vegetables.
entailment || a young boy wearing red croc sandals climbs a tree with healthy, green leaves. || a young boy wears sandals.
entailment || a young boy wearing red croc sandals climbs a tree with healthy, green leaves. || a barefoot boy climbs a tree.
neutral || a young boy wearing red croc sandals climbs a tree with healthy, green leaves. || a young boy climbs an oak tree.
entailment || a dog catching a frisbee. || an animal is making contact with a toy.
neutral || a dog catching a frisbee. || a puppy has leapt into the air to grab a frisbee.
neutral || a dog catching a frisbee. || an elephant is being trained to catch frisbees.
neutral || a beautiful bride walking on a sidewalk with her new husband. || newlyweds walk down the sidewalk from the church.
contradiction || a beautiful bride walking on a sidewalk with her new husband. || newlyweds sitting on a park bench.
entailment || a beautiful bride walking on a sidewalk with her new husband. || a couple walks outdoors together.
contradiction || a man in a construction vest is looking at a vehicle. || a man in a sweater vest is looking at a limo.
entailment || a man in a construction vest is looking at a vehicle. || a construction worker is looking outside.
neutral || a man in a construction vest is looking at a vehicle. || a construction worker is looking at a car.
entailment || a man in a red sweatshirt pushes a giant redwood tree in a snowy forest. || a man next to a tree.
neutral || a man in a red sweatshirt pushes a giant redwood tree in a snowy forest. || a man pushes a redwood tree in the forest.
entailment || a man in a red sweatshirt pushes a giant redwood tree in a snowy forest. || a man standing on a boat.
entailment || red capped male dressed in white shirt and dark shorts is standing on small green boat located water in tall grassy bank. || a man wears a white shirt.
entailment || red capped male dressed in white shirt and dark shorts is standing on small green boat located water in tall grassy bank. || a man wears a white tommy hilfiger shirt.
contradiction || red capped male dressed in white shirt and dark shorts is standing on small green boat located water in tall grassy bank. || a shirtless man sips coffee at the dinner table.
neutral || people trying to get warm. || people are trying to warm up.
contradiction || people trying to get warm. || people are sleeping.
entailment || people trying to get warm. || people are outside on a chilly day.
neutral || a yellow dog is running in a field near a mountain. || a yellow dog is going to the vet.
entailment || a yellow dog is running in a field near a mountain. || a yellow dog is running outdoors.
neutral || a yellow dog is running in a field near a mountain. || a yellow dog is chasing a bunny in the field.
contradiction || a man and two kids standing in front of an ancient building. || a man is sitting on the floor.
neutral || a man and two kids standing in front of an ancient building. || a man is standing with his sons.
