Test Accuracy : 0.4711
-----------------------------------------------------------
Predicted_Labels || Actual_Labels || Sentence1 || Sentence1
neutral || neutral || you know you know the jeez you know they're just they're just the scum of the earth and uh i just hate the idea that my tax money might go to support somebody like that || people who commit crimes deserve to suffer. 
neutral || contradiction || under other circumstances, with a shade more luck, the story would eventually have been told and retold as a heroic and masterly reversal of a lost situation. || the lost situation was saved because of their luck.
contradiction || contradiction || she's a-packing up, and she's just sent down word for me to get her a taxi." || she isn't leaving and locked herself in her room. 
entailment || neutral || the greatest perils to your precious data are the programs you've installed on your computer. || if you're worried about losing your financial data then you should back it up offline. 
neutral || contradiction || caused some damage || cause repair.
contradiction || contradiction || the survey data collected were used to estimate a wtp equation for improved visibility. || survey data is not reliable enough to estimate a wtp equation.
contradiction || neutral || the programs have hired a joint advocacy coordinator who staffs the joint advocacy project to respond to major issues that cut across program lines and can be addressed most effectively by advocates from multiple programs. || the joint advocacy coordinator has extensive knowledge of all of the programs of the joint advocacy project. 
contradiction || contradiction || uh-huh well it's probably his his his personal time while he's cutting the grass he's probably thinking about something else || he hasn't ever cut the grass.
neutral || neutral || immediately to the right of jesus is the weighing of the souls, with saint michael trying to stop satan from cheating. || the position of the art representations has a religious meaning.
contradiction || contradiction || nothing more. || nothing less.
entailment || neutral || new zealand and the united kingdom held their program managers accountable for efficiently providing specific goods and services. || new zealand were the ones to firstly initiate their program managers accountability program.
entailment || neutral || pilgrims visiting the temple reverently drape its branches with white and saffron-colored veils. || the veils represent mysticism and truth.
entailment || neutral || rather, they should be seen only as illustrations of the different budget and economic outcomes associated with alternative fiscal policy and saving paths based on common demographic and economic assumptions. || different budget and economic outcomes were illustrated for the use of bettering fiscal policy.
entailment || contradiction || west's writing lacks the lucidity and panache of his harvard colleague and sometime collaborator henry louis gates. || henry louis gates went to yale.
contradiction || neutral || um yeah well there was a interesting cartoon in the editorial the other day it was a there was a picture of a shop keeper with this really mean look on his face and empty shelves in back of him and a little rat and a couple of spider webs and || there are always cartooons featured in editorials.
neutral || contradiction || oh that would be awful i never thought about that you know || it would be really nice, i thought about that a lot.
neutral || neutral || during an election post-mortem (televised on c-span), she suggested that it would have been very difficult for bob dole to win the presidency in the electoral college since, according to her, bill clinton went into this election with 300-some electoral votes already locked up, based on the results of the 1992 election. || bill clinton won more than 300 electoral college votes in the 1996 election.
entailment || contradiction || sheldon roodman, laf executive director since 1976, said the foundation has an annual budget of about $12 million. || sheldon roodman is not the executive director of laf.
entailment || contradiction || and upon his back shall ride,to his conquests, my lord, you! || the lord remains in his castle, and sends his knights on conquests without him. 
entailment || contradiction || the friendship between harrer and the dalai lama continues to this day. || the friendship between the two men has ended.
neutral || neutral || russia's withdrawal of support for yugoslavia and the bombing of power grids and transportation networks are what really caused slobodan milosevic to cave. || he was also brought down by fighting with hungary.
contradiction || neutral || they can call it vice. || it's not important if it's characterized as a vice or not.
contradiction || contradiction || do they make good quality copies do you think || they make terrible copies.
neutral || entailment || by 1920, the japanese in hawaii outnumbered hawaiians two to one. || at that time there were more than twice as many japanese in hawaii as there were natives.
neutral || entailment || fda concluded that the rule will have a significant impact on a substantial number of small entities. || fda found the regulation would have a large impact on a huge swath of smaller entities.
contradiction || contradiction || he spoke in a clipped manner now. || he saw no point in saying anything. 
entailment || entailment || there's also an exhibit focusing on the history of irish independence. || one of the exhibits focuses on the history of irish independence.
neutral || neutral || despite hitler's efforts at persuasion, spain's new caudillo (strongman), general?γimo franco, managed to keep spain out of world war ii. || spain would have joined the war if franco had not been the generalissimo.
contradiction || contradiction || the effective interest is compared with the stated interest of the investment. || the defective interest could not be compared with the other.
contradiction || contradiction || 'oh yes,' white said suddenly, clicking his fingers. || 'oh no,' white said suddenly.
neutral || neutral || the friezes are more sophisticated, showing archers riding elephants and a king of kalinga reclining with his queen. || the friezes are extremely popular and all over the internet.
neutral || entailment || by focusing attention on tone, it has deflected attention from content. || since the focus was on one thing, the other, more important thing was ignored. 
entailment || neutral || one night i was whisked off to london at a moment's notice. || with little warning, i was taken to london for work purposes.
neutral || neutral || he's gotten now to where he can take it better he'll dish it back a little bit but || he dishes it back a bit because he's not so good at taking it.
contradiction || contradiction || it's not a moral issue, it's just stupid. || this is clearly an issue of right and wrong.
entailment || neutral || oh definitely chinese would uh-huh um-hum yeah because pastas and the and the different types of sauces and things sure yeah || chinese potsticker sound really good right now.
contradiction || contradiction || oh well there are there is one spot that was just a little bit on the gory side but um it's it's || all of it was pleasant, and non-violent.
contradiction || contradiction || okay right i will every every now and then i'll watch uh espn i i get cable on tv and they have uh a couple of shows called basic training and um what is the other o ne called || i have never watched espn.
entailment || entailment || the osaka citytourist information office is just inside the main entrance to the hankyu station. ||  the main entrance of hankyu station houses the osaka city tourist information office.
entailment || neutral || i've enjoyed speaking with you || it has been a while since we last spoke.
contradiction || neutral || he looked around and noticed that the patients in other beds wouldn't look him in the eye, either. || he looked down and realized he wasn't wearing any pants. 'ah! that explains it,' he exclaimed.
neutral || neutral || which is particularly odd given the frequency with which times readers are left seriously confused about many of the paper's more significant alleged redemptions and original sins. || times readers are left confused about the stories on the front page.
entailment || neutral || and it didn't get as you know as good a reviews as like the little mermaid the last one and got all kinds of academy awards and things last year but this one was i thought was excellent the i can't both || it was an excellent movie.
neutral || contradiction || sixty-four additional statuettes carved into the structure represent characters from scott's books. || the additional statuettes were carved in honor of the old myths.
neutral || contradiction || it has been recently done; is it not so?" || was it done weeks ago?
neutral || neutral || the giant speaks! said adrin. || those nearby listened to hear the words of the giant.
entailment || contradiction || the screening and brief intervention trial he and colleagues conducted in west virginia did not include a booster session and had a mode intervention time of about 14 minutes. || their screening and brief intervention trial  had a mode intervention time of approximately 2 minutes.
neutral || contradiction || he was the example of professionalism, community service and compassion. || he was unprofessional and cared little for serving his community.
entailment || entailment || i was i was just uh oh well let's see i guess we've talked what almost five minutes || we've talked for almost five minutes.
entailment || neutral || a tapa is a mouthful of anything that tastes good and fits on a cocktail stick. || tapas are often served with limes.
entailment || entailment || oh yeah we've been getting those || we have been experiencing those things.
entailment || entailment || whose fault is that? || who is at fault?
contradiction || contradiction || when the snetha-knife kills, it kills completely. || the sneth-knife is nothing to worry about. 
contradiction || contradiction || he also commissioned paintings by raphael and titian for the royal collections that are now the pride of the louvre. || raphael and titian refused to paint for him
neutral || neutral || um no we don't but other other offices do they have a box for papers || the office on the left has a box for papers.
entailment || entailment || because it certainly wasn't sustained || it was momentary.
entailment || contradiction || food and drink || starvation and thirst
neutral || contradiction || if you're a pessimist and don't trust your future self to be frugal, then you might as well spend all your money today so it doesn't fall into the hands of that future spendthrift. || if you don't trust your future self with money, it's best to change your habits now, instead of just spending money.
entailment || entailment || you know, that in the upper right corner, in our second storage room.' || there is a second storage room in the upper right corner.
neutral || neutral || i did have more time and i tried to spend some more time with them and uh you know we did things as a family we went camping quite a bit and we uh you know took trips went to see my folks in florida and and some of those kind of things || i decided to use the extra time i had to spend with family because i had neglected them in the past.
neutral || entailment || privatization enthusiasts sometimes admit to this as a transitional problem. || most enthusiast of privatization admit to this being a problem. 
neutral || neutral || hot brass (la villette) and the new morning (rue des petites-ecuries) attract big american and european musicians, while le dunois (rue dunois) is an intimate place, cultivating more avant-garde music. || the new morning is a large venue, seating over 30 thousand people.
contradiction || neutral || no it was very serious very serious || no one even laughed in the whole period.
neutral || entailment || yeah well i lived down in down in the bottom of a big hollow and we had to pretty much hike out most of the time || most of the time, i went outdoors.
neutral || contradiction || you will also find the cumwest exhibition here, which tells the story of the western lakes, the lesser known though no less captivating part of the lake district. ||  the cumwest exhibition is very well known
contradiction || contradiction || i'd advise you to make tracks for russia right away. || i'd encourage you to wait a while before doing anything for russia.
entailment || contradiction || in what order? || in numerical order.
neutral || neutral || yet with the discovery of marvelous artifacts and evidence of its cities, sir arthur evans, its principal advocate, made reality out of folklore and myth (see page 33). || these artifacts included a working flying saucer built by aliens.
entailment || entailment || instead of ancient artefacts it shows the lifestyle and achievements of myriad jewish communities around the globe through high-tec h audio-visual displays, hands-on exhibits, scale models (many of which are exquisite), and reconstructions. || the achievements of the jewish communities were on display on the television screens and through speakers.
entailment || neutral || like clinton, starr has used nonexistent or self-imposed secrecy requirements to avoid answering troublesome questions. || clinton is ashamed of answering some of the questions.
neutral || neutral || how does the fact that such attacks are typical clarify whether gore is right about bradley or vice versa? || comparing these attacks is becoming ridiculous, they are worrying to the people.
contradiction || entailment || across the river, the 19th-century orsay railway station has been transformed into the mus??e d'orsay. || the orsay railway station across the river has already been transformed.
neutral || neutral || for the five centuries since then, the buddha has been dispensing his benevolence to visitors in the open air. || millions of people visit the buddha statue every year.
neutral || entailment || it's pretty interesting but it's a real good chicken dish it's sort of like a chicken potpie in a way you have a crust on top and all that || it's a good chicken dish, sort of like pot pie. 
neutral || entailment || at the same time, the city council plan envisages dramatic cuts in the legal departments of many city agencies with a view to transferring the work to the law department. || city council wants to make dramatic cuts to the legal departments of many city agencies.
entailment || contradiction || to attain such concrete notoriety, you must be nominated to the hollywood chamber of commerce and then, if selected, come up with $15,000 to pay for your star. || if you are selected by the hollywood chamber of commerce, you can get your star for free.
contradiction || entailment || you will need a visa to enter china ( for information). || you cannot enter china without authorization.
neutral || neutral || critics are surprisingly positive about the singer/songwriter/best-selling poet/soon-to-be film actress' second album after the 8 million copy selling pieces of you . musically she has matured, and her trademark folksy-bluesy-pop songs are dubbed sweet, soulful (veronica chambers, newsweek ). the lyrics, however are said to be full of hokey self-helpisms, and the album overflows with advice intended to be inspirational (jon pareles, the new york times ). (buy the album online.) || this artist's second album has been loved by critics, surprisingly, especially because of the success with the public and mediatic attention.
contradiction || contradiction || (music swells ...) || music remains stagnant. 
entailment || neutral || the word that is used around doug is 'operator. || operator and moderator are the words that are used around doug.
entailment || neutral || where did the rage in kaufman come from, and at what point did it kill the comedy? || kaufman was angered by artistic restrictions enforced by others.
entailment || contradiction || the natural paste, meanwhile, lacks all bite, and your mouth feels dirtier after you've brushed. || the natural paste cleans your mouth.
neutral || neutral || what about homeless people? || what about feeding the homeless people?
entailment || neutral || kofi annan ruins newsweek 's unleash-the-dogs-of-war cover package. || newsweek regrets including kofi annan in the cover package.
entailment || entailment || in in being a speaker for this || being a speaker.
entailment || entailment || i think i was one okay um first thing i thought of was was just the men that put the flyers on the door and i'm a christian and i think i feel sorry for people that have to do that you know what i mean i always pray for the guys but when i'm sitting on my couch and it's and a man just walks up and puts his hand on my doorknob || i have sympathy for them.
entailment || neutral || from the little renaissance church, there's a pretty view over the winding river. || you can see the sunrise from the renaissance church.
neutral || neutral || to the families involved in the woburn tragedy, the real climax of this story isn't the downbeat ending of the book or the sleight of hand, let's call the environmental protection agency, upbeat ending of the movie. || the woburn tragedy killed 4 people and affected dozens of families. 
entailment || contradiction || they should ask the same question of themselves. || they should ask themselves a different question.
contradiction || contradiction || the apparent going premium of 50 percent for a targeted ad on the internet suggests that internet advertising may be as likely to reduce total ad spending as to increase it. || ad spending can only decrease at this time.
entailment || neutral || he knows somethin' 'bout doctorin',"fowler cut in. || fowler interrupted the couple, "he has some knowledge of how a doctor would treat this."
contradiction || entailment || 'a biographer. || a writer.
entailment || entailment || if you stay here they will rape you, kill you slowly, and eat you on this table. || if you stay you you will get raped killed, and eaten. 
contradiction || contradiction || once it's known i wouldn't give that" he snapped his fingers "for the life of those two girls. || he said that there was nothing he wouldn't give up for those two little girls.
entailment || contradiction || 1 the following table identifies the appropriate chapters for reviewing the various steps of an acquisition. || the table gives no information about the appropriate chapters for reviewing the various steps of an acquisition.
neutral || entailment || i'm a registered and certified--"  she stopped then, blushing, and bork chuckled. || she began talking about her certification but stopped and bork laughed.
neutral || neutral || that's what i'm making that's what i'm d oing now i'm making dinner || i am preparing dinner for the whole family.
contradiction || contradiction || but uh every time the kids didn't go we'd go and we'd go out there and just you know at at like ten o'clock in the morning and set up and there would be all these people gathered around that you know all the tailgaters and stuff and then everybody would wander into the stadium you know || we would always go with the kids and avoid the place where all the tailgaters were.
entailment || neutral || the higher stalls came later, carved by the renaissance masters alonso berruguete and felipe bigarny. || there are more than one hundred stalls of various heights here.
neutral || entailment || the hand with which he raised his glass to his lips shook slightly, but his eyes held sir james's defiantly. || though his hands were shaking as he raised the glass, his defiant stare upon sir james was steady. 
entailment || entailment || yeah you know uh i don't really exactly remember how much it is i think it's about five hundred limit uh you know it's just uh just one for him to fiddle with || i'm not one hundred percent sure but i think it has a limit of around 500. 
neutral || entailment || most of us have equivalent fantasies, but we'd be ashamed to expose ourselves by putting them out there. || we would be ashamed to put our fantasies out there.
contradiction || entailment || the dead woman had not the gift of commanding love.  || the dead woman didn't command love.
neutral || contradiction || before he died, he quit drinking and unhappily moved to the suburbs. || he died living in the city, drinking everyday.
neutral || neutral || and if you enjoy that sort of thing, here's a little juxtaposition game you can play when you spot odd pairings of the bald and the beautiful; it's a betting game called date or daughter? || date or daughter is a fun game to play. 
contradiction || contradiction || thorn pulled him against the strong wall against which he held his position and cleaved deep into the stick's skull. || thorn ran away before he touched stick.
neutral || entailment || to apologize convincingly takes exquisite timing. || you must have good timing to make a convincing apology.
entailment || entailment || it's a perfect day for it yeah i i love spring i just love it || it's a perfect spring day.
neutral || entailment || construct validity the extent to which a measurement method accurately represents a construct and produces an observation distinct from that produced by a measure of another construct. || construct validity refers to how a measurement method represents a construct.
entailment || entailment || we need your services."  "what do you want?" dave asked. || what kind of services do you want me to provide? dave inquired.
contradiction || entailment || it's an easy trip to make from mahabalipuram and you can stop off to shop in kanchipuram for silk. || you can buy silk in kanchipuram. 
neutral || neutral || well they say that those are easy to find or difficult to find || they are really common. 
entailment || entailment || podhoretz implies that sharpton's behavior is both representative of and entirely in keeping with the character of african-americans in general. || podhoretz thought that sharpton was typical of african-americans.
neutral || entailment || france's other major preoccupation was england. || france also concentrated on england.
neutral || entailment || if such evidence is present, return kennewick man to his rightful tribal reservation. || bring kennewick man to his tribe if the evidence is valid.
contradiction || neutral || equally spectacular are the panoramas from the belvedere di pocol and tondi di faloria. || the belvedere di pocol and tondi di faloria have the best views in the region.
entailment || entailment || sometimes when your in the suit and feel kind of almost stiff and you're not you know maybe you don't uh can't get as comfortable to sit down and you know like when i'm writing training material i prefer to be more comfortable unless i know i have to meet with a customer later during the day || i am in better comfort when im working on training material.
entailment || contradiction || well i i used to babysit for this family that didn't have a tv and their their kids turned out fine || i babysat for a family that didn't have a tv, and all of the kids ended up becoming criminals.
contradiction || entailment || if he raises taxes to support defense programs that fail to justify their costs, once again the price of land will fall. || the price of land will fall if he raises taxes for useless defense programs.
contradiction || neutral || possibly most, of these individuals with these problems would have no other source of legal assistance. || legal help for people with no other options.
contradiction || entailment || well all right well i think that should just about do it || okay that is all i have for you. 
neutral || entailment || at first they suspected rival slave traders or mercenaries hired by the other cities to corner the market on the trade, but all the traders were being killed one caravan at a time. || the mercenaries were hired by other cities to help with trade.
entailment || entailment || tuppence eyed her thoughtfully for a minute. || tuppence looked at her for a minute. 
entailment || neutral || 'uh...natalia, this isn't the best time for-' || there isn't a good time to lie about your age. 
contradiction || neutral || it certainly produces no evidence of malice. || the defendent's argument provides no evidence of malice. 
contradiction || contradiction || adrin joined them as they descended and headed south. || adrin stayed home.
contradiction || entailment || no matter how hard i try, i feel that i say the wrong thing or something inappropriate. || i feel like everything i say is wrong.
neutral || contradiction || the new voting register. || the voting register has been installed in this community for over a decade.
entailment || neutral || the handy travel tips section at the back of this book (page 215) contains detailed practical guidance on the technicalities of travel in france, but here are some general thoughts to help you plan your trip. || the handy travel tips section tells you where to exchange currency in france.
contradiction || contradiction || unlike the house, which finished impeachment in december, the senate lost the first two months of its current session to the trial. || the house did not finish impeachment in december. 
entailment || entailment || he thought the place might suit me." again that basilisk glance seemed to pierce her through. || he believed that location was right for me, the gaze of the basilisk appeared to penetrate her.
entailment || contradiction || i felt awful. || i felt fantastic.
neutral || neutral || underscore the mystical rather than gruesome aspects of ... || we need to put focus on the mystical instead of the brutal aspects of religion.
contradiction || neutral || suuuurge! || go forward slowly.
contradiction || contradiction || oh yeah that's there is oh there is || oh no, there isn't.
neutral || neutral || i beg your assistance to help my town. || i need you to help my town get out of debt. 
contradiction || contradiction || right from someone saying || wrong, no one says anything. 
neutral || neutral || yeah i i know where you're coming from because i do the i do the minor things to my car || i can fix the minor issues, but i don't try to fix big problems
entailment || contradiction || a colonnaded circular monument to the right was raised in the memory of dugald stewart, professor of moral philosophy at the university of edinburgh in the 1780s. || dugald stewart worked at the university of edinburgh in the 17th century.
contradiction || contradiction || this fortified town perched high on its hill works a sober charm among the buff-stone 13th-century edifices of its piazza dei priori and adjacent piazza san giovanni. || there is a not very charming town in a hill.
neutral || neutral || for now, let us rest. || let's rest up for battle now.
contradiction || entailment || i also watched a boy in lucca try to run over pigeons with his bike. || a boy in lucca tried to run over pigeons using his bike.
neutral || neutral || if mailers have ideas, they ought to submit them. || mailers have thousands of ideas ready to send.
entailment || entailment || the british population has decreased; today there are as many american and australian ex-pats as there are british. || there are equal numbers of australian, american, and british expats.
contradiction || contradiction || then i went on and mumbled out something about a girl. || i stopped and left without saying anything more.
contradiction || contradiction || it was not always this way. || it has been the same forever.
contradiction || contradiction || finally, i stopped over here at the offices of || i've never had enough time to drop by where they work.
entailment || entailment || cost per piece ($us) || price per unit ($us)
neutral || neutral || while most people look on this as a staging point for a trek, pokhara is such a beautiful spot that it can be quite enough just to relax and enjoy the mountain scenery in the warm sunshine. || stressed and tired locals usually go to pokhara in order to relax.
entailment || neutral || photographs of dublin past and present are displayed, and changing exhibitions are held of irish and international photography. || the changing exhibitions feature mostly irish photographers and few international photographers.
entailment || entailment || um that's not too bad || that is not as bad as it could be.
entailment || contradiction || the tiny two-story slate house, which spans the bubbling waters of stock ghyll, now serves as a national trust information centre and pick-up point for the national trust tour bus. || the national trust information centre can be found inside an enormous, five-storey mansion. 
entailment || neutral || wilkins' prescription, but you will remember that i mentioned an empty box of bromide powders.  || i remember mentioning an empty box of bromide powders.
entailment || neutral || the intersection of hollywood and vine was once touted as the heart of tinseltown, but now it is rather nondescript, save for the landmark capitol records building, which is shaped like a stack of records. || the capitol records building dates from the early 1950s.
entailment || neutral || longer hikes follow well-marked trails across the fields. || it's not recommended that beginners take longer hikes on these trails.
contradiction || contradiction || beyond baggot street bridge to the east is the suburb of ballsbridge, at the heart of which are the grounds of the royal dublin society where the famous dublin (kerrygold) horse show takes place. || the suburb of ballsbridge lies west of baggot street bridge.
entailment || neutral || in addition to all the technical stuff what do what what do you do what kind of work do you do || just from hearing all the technical things you can do,  i bet i can guess what type of work you do. 
entailment || neutral || its elements were identified  || the elements or the plan were identified.
neutral || contradiction || and this pristine wildlife reserve is within easy reach by air and road from kathmandu. || it's difficult to reach the wildlife reserve from kathmandu. 
entailment || neutral || what's on that dress, anyway? || what is on that pretty dress?
entailment || entailment || or no let's see uh dick tracy i did we did see dick tracy so that's || we saw dick tracy.
neutral || contradiction || this mail is insignificant, except for fy 1987, the first year the study was conducted. || the mail is quite significant for the study.
contradiction || contradiction || i did obediently, and she told me not to worry my memory would soon come back. || she said that i would never remember again. 
contradiction || entailment || the self-guided rock 'n' stroll trail around dublin, which follows in the footsteps of irish rock legends, will appeal to teenagers, as will the interactive displays and shows at imhf (see page 92). || the rock 'n' stroll train around dublin follows in the footsteps of irish rock legends.
contradiction || neutral || anyway it's a tough question really is you know || no one can answer the difficult question.
neutral || entailment || six laboratories participated in each study. || each study had six laboratories participating. 
neutral || contradiction || well i think most people when they are in high school are very undecided about what course of study they want to take and they really don't have the foggiest idea of what kind of career they want to get into at least until at least until they've been in college for a couple of years || most people know exactly what they want to do at the end of high school.
contradiction || contradiction || surely she was at least entitled to demand an explanation. || she was not allowed a piece of cake. 
contradiction || contradiction || it is tempting to push aside gloomy simulation results and to discount the significance of fiscal constraints several decades in the future, but recent good news about the budget does not mean that difficult budget choices are a thing of the past. || there are no temptations to discount anything, temptation does not exist.
neutral || neutral || hong kong has a vast range of the most high-tech audio-visual, sound, and screen equipment. || hong kong has the widest array of high-tech equipment in the world.
entailment || neutral || however, this climb never happened. || the climb may have happened, but we shall not speak about it and pretend it did not.
entailment || contradiction || when cook later tied up on the big island of hawaii, at kealakekua bay, he was hailed as the god lono and feasted on a grand scale. || the people of kealakekua bay didn't believe in lono.
contradiction || contradiction || well the the ground here is so flat and it's all saturated now we're getting some flooding || the ground here is dry and hilly.
contradiction || neutral || assuming no other changes, these programs would constitute a substantial drain on the earnings of our future workers. || these programs are to increase taxes.
entailment || contradiction || following is a summary of stewardship data for the ceramic materials research programs for the 5 fiscal years ending september 30, 199v through 199 || this summary of data includes material from fiscal years prior to 1600.
entailment || contradiction || in any case, the broader the net cast by the screening instrument that identifies individuals with alcohol problems, the more flexible and wide-ranging should be the referral and post-discharge options. || individuals with alcohol problems should not have post-discharge options.
entailment || entailment || yeah they'll they'll climb back up again and that texas stadium i've been there that is a phenomenal place || i went to the texas stadium and found it phenomenal.
neutral || neutral || i i don't i don't know um || i don't know if the store's open right now
contradiction || neutral || omb also is required to select at least five agencies from among the initial pilot agencies to pilot || six agencies are always chosen by the omb.
neutral || entailment || and course they were they were kind of like the cowboys in that after lombardi who could fill his shoes || their team was similar in a way to the cowboys.
entailment || contradiction || result in 11 different symptom clusters, each describing a type of lrs. || there were 21 different cluster symptoms altogether.
contradiction || contradiction || brittany's countryside is wilder and less civilized, with a jagged coastline to match. || brittany's countryside is boring and mundane.
contradiction || contradiction || sometimes they just change them completely || they never change them in any way.
entailment || entailment || ) there was kennedy fraser, late of the new yorker , whose witty essays on fashion published in that magazine during the 1970s have since, happily, been collected. || kennedy fraser wrote witty essays on fashion.
contradiction || neutral || no two hand-made carpets are identical. || machine-made carpets are virtually perfect copies.
contradiction || contradiction || that's i knew you were going to say that i wanted i want to go see that || you have no idea how much i want to see it.
entailment || entailment || now there is, of course, also a case against microsoft. || there is a pending case against microsoft.
contradiction || neutral || the media linked the case to other recent shootings (in arkansas, mississippi, and kentucky) and focused on the warning signs and the importance of taking them seriously. || the shootings that have unfolded in mississippi recently were truly tragic.
neutral || entailment || i just yeah yeah and they are lovely but || they are wonderful, however.
contradiction || neutral || hope they're telling you || they are informing you about everything, i hope.
neutral || entailment || highlights include an indian-style shaka triad; the yumechigae ( dream changing ) kannon, said to transform its worshippers' nightmares into pleasant dreams; and the kudara kannon, a graceful, willowy statue named after a region in korea, whose designer and creator was almost certainly korean. || highlights include an indian-style shaka triad; the yumechigae ( dream changing ) kannon, said to transform its worshippers' nightmares into pleasant dreams; and the kudara kannon, a graceful, dainty statue named after a region in korea, whose designer and creator most likely certainly korean.
contradiction || entailment || everything was cold, in the most biting way possible. || it felt unbearably freezing.
contradiction || neutral || uh-huh it's funny because i had listened to a comedian talk about the death penalty you know about people saying they they don't have nobody to do this and i said well if somebody killed my husband just because i'll pull the switch i'll even do you know to me if if that person can forgive them fine but what is that man going to do next is he going to go out and kill somebody else || they don't have nobody to do this to the person who killed my husband.
neutral || contradiction || when shane massello realized his former landlord was not going to return a security deposit he believed he was entitled to, his first thought was to go to court for the money. || shane massello realized he had stolen from his landlord and deserved not to get his security deposit back.
neutral || neutral || as a result, delos is now one of the most important archaeological sites in the world. || delos is important because of its temples. 
neutral || entailment || he he writes uh spy novels the eye of the needle and uh i i've really i've really have found his books en joyable || i enjoy his spy novels.
entailment || neutral || today it is very popular with package vacationers, particularly high-spirited young europeans. || high-spirited young europeans and asian seniors like package vacations.
contradiction || neutral || in some cases, though, this information can be difficult to locate. || housing information is not always easy to find. 
entailment || contradiction || only this time, instead of humiliating the jocks and cheerleaders, ryder and her boyfriend, played by christian slater, kill them. || ryder and her boyfriend, this time, decided to humiliate the jocks and cheerleader.
entailment || neutral || a week ago he received a shipment of new flavors from the french colonies. || the shipment was sent in small boxes.
neutral || neutral || yeah well the the vice president for operations for onum stationed in korea is a guy named michael bryant || he is stationed out in korea.
entailment || contradiction || south of plaza de la villa and calle segovia is the neighborhood called la latina and the old moorish district, la morera, where the intense traffic and bustle of madrid suddenly subsides. || north of plaza de la villa and calle segovia is the neighborhood called la latina where traffic gets insane.
entailment || contradiction || 'although harrison ford surely shares some of the blame. || harrison ford is blameless.
neutral || neutral || a gesture clearly suited to football's warlike nature, the salute is named for denver's mile high stadium. || many football players get serious injuries, given its warlike nature.
neutral || neutral || he sent drew to kaintuck for schoolin'. || bill sent drew to kaintuck to be taught how to fight.
contradiction || contradiction || and and that's acceptable || that isn't acceptable.
entailment || entailment || feeding hunger || alleviating hunger
contradiction || neutral || i never looked at my records, he admitted about the writing of his classic. || i never saw my records because i am blind.
neutral || contradiction || a central focal point is essential to spotting trends, identifying problem areas, and seeing that policies and administrative actions are handled in a consistent manner. || there is no need to organize around detecting problems and ensuring strict enforcement of policies, because each individual actor in each situation can decide on the best solution. 
entailment || entailment || there is no need.  || that isn't necessary. 
contradiction || contradiction || high praise for the new yorker writer's stories about disaffected youth. || the new yorker writer's stories about disgruntled youth are not praise-worthy.
contradiction || neutral || unfortunately, it's more complicated than that. || unfortunately, tax law is more complicated than that.
entailment || neutral || horyuji was built by craftsmen imported from korea, and the temple bears much of their distinctive artistic stamp. || the korean craftsmen did an excellent job. 
contradiction || contradiction || assessments - enforceable claims for nonexchange revenue for which specific amounts due have been determined and the person from whom the tax or duty is due has been identified. || all claims for nonexchange revenues are referred to as assessments.
contradiction || contradiction || it wasn't you but the organization you lead that committed the misdeed. || it was you not the company.
neutral || neutral || slate is looking for a software developer, or maybe even two, to work on various features we hope to add. || slate is looking for software developers to help improve their program.
entailment || entailment || me too because we go all the time the guy i was talking to never goes he was boy it sounds like your really up on this and i said i see at least two a week  so || you seem really keen on this thing, whereas the guy i know couldn't be bothered
contradiction || contradiction || our first assumption is that this woman is a victim of gender-based discrimination--but we're stopped short by the announcement that it is legal. || all discrimination is illegal.
contradiction || neutral || never has been. || never will be the same again.
entailment || entailment || oh gosh that's hard to say  it's um used to be a big twin peaks fan but they've made me mad so i haven't watched them in a while in a while || i used to like to watch twin peaks but i have not watched that show for awhile. 
neutral || entailment || but murder's a violent crime.  || murder is a crime.
entailment || entailment || anyway, she was familiar with the fact that the addition of a bromide to a mixture containing strychnine would cause the precipitation of the latter.  || she understood that precipitation of strychnine would occur if bromide was added into a mixture. 
entailment || contradiction || except that mine are a little bit older and and i've shown them the numbers and said this is what's going to be available all this is going to do is give you a little spending money while you're there you better make sure that you've got a scholarship || mine are a bit younger, and i told them to wait before they do this.
contradiction || contradiction || he has lived the past four years at creston plaza with his wife, tammy, and his daughter, precious, 3. in recent months, robertson was pleased to see casual drug use at the complex diminish with the installation of security cameras. || installing security cameras did nothing to diminish drug use.
entailment || contradiction || the network, such as controlling the users' access rights; || the network is for denial rights.
contradiction || neutral || the platinum room, as sumptuous as it sounds, leads to the king's own toilet, wittily arranged as a plush throne. || the platinum room is only used on special occasions.
entailment || neutral || and once you have those you can add to them or take away from them and come up with all kinds of different dishes || you can change a casserole into a stovetop recipe.
contradiction || contradiction || yet it's not only the building itself that is fascinating; it is also its place in scottish history. || the brand new building is very dull.
contradiction || entailment || um-hum because women are in every field now i mean i can't think of a field that they're not involved in || women have jobs in all fields.
entailment || neutral || large heads bulged out of pastel-blue uniforms, looking me up and down. || the guards looked at me intently.
contradiction || contradiction || delhi in particular has very modern facilities, many built for the asian games in 1982. || delhi does not have any facilities to offer.
neutral || entailment || less than half i was kind of surprised to hear that || i was surprised to hear it was less than half.
entailment || neutral || uh-huh oh yeah yeah uh-huh right || oh yeah, you're right about that tool.
contradiction || contradiction || it was glowingly reviewed. || the reviews rated it as awful and boring.
entailment || neutral || in the event, within one month three different flags flew over the place d'armes (now jackson square). || the the event where the three different flags flew over the place d'armes (now jackson square), about four thousand people that gathered.
