Test Accuracy : 0.6626
-----------------------------------------------------------
Predicted_Labels || Actual_Labels || Sentence1 || Sentence1
contradiction || entailment || a young girl, is mid jump, while performing a dance routine. || a young girl is dancing.
contradiction || neutral || a young man pouring tea inside of a glass jar. || a man is getting ready to drink ice tea.
neutral || contradiction || a young man pouring tea inside of a glass jar. || a man is drinking moonshine.
contradiction || entailment || a young man pouring tea inside of a glass jar. || a man is pouring a glass of tea.
entailment || entailment || a girl climbing a chain link fence. || a girl is on a fence.
contradiction || contradiction || a girl climbing a chain link fence. || the girl falls from the fence.
neutral || neutral || a girl climbing a chain link fence. || the girl climbs the fence to get to school.
neutral || neutral || older men and women dancing in front of a stage, a man in a white hat twirling a woman in a red flower print skirt and white shirt. || people put on a show.
neutral || entailment || older men and women dancing in front of a stage, a man in a white hat twirling a woman in a red flower print skirt and white shirt. || some old people perform onstage.
entailment || entailment || a man and a woman stand in front of a christmas tree contemplating a single thought. || two people stand lost in thought in front of a tree.
contradiction || neutral || a man and a woman stand in front of a christmas tree contemplating a single thought. || two people wonder how a christmas tree got inside their house in the middle of july.
contradiction || contradiction || a man and a woman stand in front of a christmas tree contemplating a single thought. || two people talk loudly in front of a cactus.
neutral || contradiction || a young couple thinking about their christmas decorations. || the couple are decorating for halloween.
contradiction || neutral || a young couple thinking about their christmas decorations. || the couple has their christmas tree out.
entailment || entailment || a group of people standing in a restaurant. || there are people in a restaurant.
contradiction || neutral || a group of people standing in a restaurant. || a group of people are eating tacos at a restaurant.
neutral || neutral || a group of people standing in a restaurant. || a party waits to be seated at a restaurant.
entailment || entailment || an olympian leaps over an obstacle. || an athelete jumps.
contradiction || contradiction || an olympian leaps over an obstacle. || an old woman sleeps in the kitchen.
contradiction || neutral || an olympian leaps over an obstacle. || a sprinter hurdles the barrier.
contradiction || contradiction || a couple is sitting down smiling, with the woman linking arms with the man. || a couple is standing and frowning.
entailment || entailment || a couple is sitting down smiling, with the woman linking arms with the man. || a couple is sitting down and smiling at each other.
entailment || entailment || a couple is sitting down smiling, with the woman linking arms with the man. || a couple is sitting down and smiling.
contradiction || contradiction || a child floating on a blue raft while a woman holds on to him while a black dog swims nearby. || nobody floats.
entailment || entailment || a child floating on a blue raft while a woman holds on to him while a black dog swims nearby. || a person floating
neutral || neutral || a child floating on a blue raft while a woman holds on to him while a black dog swims nearby. || a funny person floating
contradiction || neutral || a man lying on the grass on a rugby field, holding a rugby ball. || a many sleeping with his rugby ball.
contradiction || contradiction || a man lying on the grass on a rugby field, holding a rugby ball. || a man lying on a field holding a wrecking ball.
contradiction || entailment || a man lying on the grass on a rugby field, holding a rugby ball. || a man lying in the grass holding on to a ball.
contradiction || contradiction || a woman is sitting in a chair, while a man is going through the sport utility vehicle. || a dog eating a treat
neutral || neutral || a woman is sitting in a chair, while a man is going through the sport utility vehicle. || a girl is sitting waiting to leave for vacation
entailment || entailment || a woman is sitting in a chair, while a man is going through the sport utility vehicle. || a girl is sitting
entailment || entailment || a skier doing a trick on pole while being photographed by another man || man photographs skier performing a trick.
contradiction || contradiction || a skier doing a trick on pole while being photographed by another man || skier beating up photographer.
neutral || neutral || a skier doing a trick on pole while being photographed by another man || skier showing off for photographer by doing a trick.
entailment || entailment || a woman carries a small, unhappy child in a busy street scene. || woman carrying a child
entailment || contradiction || a woman carries a small, unhappy child in a busy street scene. || man walking a dog
neutral || neutral || a woman carries a small, unhappy child in a busy street scene. || woman carrying child to the store
contradiction || neutral || multiple men fill the scene, one in a white button up shirt using his cellphone, the others wearing pink, orange, and green shirts engaged in various activities in the background. || three of the men are talking on their phones.
entailment || entailment || multiple men fill the scene, one in a white button up shirt using his cellphone, the others wearing pink, orange, and green shirts engaged in various activities in the background. || the men are wearing several different coloured shits.
neutral || contradiction || multiple men fill the scene, one in a white button up shirt using his cellphone, the others wearing pink, orange, and green shirts engaged in various activities in the background. || most of the men are dressed in white shirts.
contradiction || entailment || a woman in a bright pink and green skirt carries a large wicker basket on her back up a stone-cobbled street. || the woman is carrying a basket down the street.
neutral || contradiction || a woman in a bright pink and green skirt carries a large wicker basket on her back up a stone-cobbled street. || the woman is playing soccer in the cobble stone streets of brazil.
contradiction || neutral || a woman in a bright pink and green skirt carries a large wicker basket on her back up a stone-cobbled street. || the woman is carrying a basket down the street in nepal.
entailment || neutral || a big dog and a smaller dog fight over a piece of fabric. || two dogs fighting over a toy in front of a crowd.
entailment || entailment || a big dog and a smaller dog fight over a piece of fabric. || two dogs fighting over a piece of fabric
contradiction || contradiction || a big dog and a smaller dog fight over a piece of fabric. || a group of dogs fighting over a dead body.
contradiction || contradiction || a young girl with blond-hair eating a peach. || a young girl does aerobics.
entailment || entailment || a young girl with blond-hair eating a peach. || there is fruit present.
neutral || neutral || a young girl with blond-hair eating a peach. || a young girl eating a peach, while discussing the times of old with her friend.
contradiction || neutral || the man white purple and white polka-dotted shirts is eating and looking to his right while the woman behind him has a confused look on her face. || the guy is eating a sandwich while a lady wonders what's in the sandwich.
contradiction || contradiction || the man white purple and white polka-dotted shirts is eating and looking to his right while the woman behind him has a confused look on her face. || a person is jumping out of a plane.
entailment || entailment || the man white purple and white polka-dotted shirts is eating and looking to his right while the woman behind him has a confused look on her face. || a person is consuming food.
neutral || neutral || several people talk and drink beer while sitting around a picnic table. || several enemies talk and drink beer around a table discussing peace treaties.
entailment || entailment || several people talk and drink beer while sitting around a picnic table. || people talking and drinking while sitting at a table outside.
neutral || neutral || several people talk and drink beer while sitting around a picnic table. || several friends talk and drink beer while sitting around a picnic table.
contradiction || contradiction || a dirty, shirtless homeless man sits on the sidewalk, holding his cup up to passerby asking for change. || a businessman eats lunch in the cafe.
neutral || neutral || a dirty, shirtless homeless man sits on the sidewalk, holding his cup up to passerby asking for change. || a homeless man in torn jeans begs.
neutral || entailment || a dirty, shirtless homeless man sits on the sidewalk, holding his cup up to passerby asking for change. || a homeless man begs.
neutral || neutral || a person shovels the snow in the city as the snow continues to fall. || the man is clearing his driveway.
entailment || entailment || a person shovels the snow in the city as the snow continues to fall. || the man is working in the snow.
entailment || contradiction || a person shovels the snow in the city as the snow continues to fall. || the man is playing a guitar.
contradiction || contradiction || a man with white hair wearing a gray suit speaks into a microphone with a metal jug sitting in front of him. || a man is riding in a spaceship to the moon.
neutral || neutral || a man with white hair wearing a gray suit speaks into a microphone with a metal jug sitting in front of him. || a man is giving a speech on personal finance.
entailment || entailment || a man with white hair wearing a gray suit speaks into a microphone with a metal jug sitting in front of him. || a man is speaking.
contradiction || contradiction || a man is holding on to a piece of rope, sitting in an inflatable boat, in front of several other larger boats. || a man is underwater.
entailment || entailment || a man is holding on to a piece of rope, sitting in an inflatable boat, in front of several other larger boats. || a man is afloat.
entailment || entailment || a man is holding on to a piece of rope, sitting in an inflatable boat, in front of several other larger boats. || a man sits in a floating raft by some boats.
contradiction || contradiction || a group of people are buying fruits and vegetables from a stand located in a street market. || the people are buying clothing at a stall in the street market.
entailment || neutral || a group of people are buying fruits and vegetables from a stand located in a street market. || the people are inspecting the vegetables.
entailment || entailment || a group of people are buying fruits and vegetables from a stand located in a street market. || the stand selling produce is in a street market.
neutral || neutral || a small dog looking up to his loving owner. || a dog is playing with his owner.
entailment || contradiction || a small dog looking up to his loving owner. || some people are shopping.
entailment || entailment || a small dog looking up to his loving owner. || a dog is looking up.
neutral || entailment || a brown and white dog is chained up near a red chair. || the dog is chained to a chair.
contradiction || contradiction || a brown and white dog is chained up near a red chair. || the dog is loose running around the yard.
contradiction || neutral || a brown and white dog is chained up near a red chair. || the dog is sitting.
entailment || neutral || a woman in a red shirt looks at a map while with a view of a river and several boats in the background. || a woman in red is out camping near water.
entailment || entailment || a woman in a red shirt looks at a map while with a view of a river and several boats in the background. || a woman looks at a map outdoors, a river and boats are behind her.
contradiction || contradiction || a woman in a red shirt looks at a map while with a view of a river and several boats in the background. || a girl is buying a cup of coffee.
contradiction || contradiction || the african american man protests against unlawful sex. || the man sings and dances in the park.
neutral || neutral || the african american man protests against unlawful sex. || the man protests in something he doesn't believe in.
neutral || entailment || the african american man protests against unlawful sex. || the man protests.
entailment || entailment || one young woman in a blue uniform helping another young woman in a blue sweatshirt with a white band around her arm. || a person in a uniform
contradiction || contradiction || one young woman in a blue uniform helping another young woman in a blue sweatshirt with a white band around her arm. || nobody is wearing a uniform
neutral || neutral || one young woman in a blue uniform helping another young woman in a blue sweatshirt with a white band around her arm. || a tall person in a uniform
contradiction || contradiction || two dogs either fighting or playing together. || the dogs are asleep on the sofa.
contradiction || neutral || two dogs either fighting or playing together. || the dogs are in a meadow.
entailment || entailment || two dogs either fighting or playing together. || there are at least two dogs.
entailment || entailment || a group of young boys wearing track jackets stretch their legs on a gym floor as they sit in a circle. || there are boys in the gym.
contradiction || contradiction || a group of young boys wearing track jackets stretch their legs on a gym floor as they sit in a circle. || a group of boys are studying for a test.
contradiction || entailment || a group of young boys wearing track jackets stretch their legs on a gym floor as they sit in a circle. || the boys in their track jackets in the gym stretch their legs.
contradiction || entailment || a group of young boys wearing track jackets stretch their legs on a gym floor as they sit in a circle. || wearing their track jackets, the boys form a circle and stretch their legs in the gym.
neutral || entailment || a group of young boys wearing track jackets stretch their legs on a gym floor as they sit in a circle. || a group of boys are preparing to work out.
entailment || entailment || a group of young band members wearing black perform on instruments including the saxophone and the trombone. || a group of musicians playing
entailment || entailment || a group of young band members wearing black perform on instruments including the saxophone and the trombone. || a group of musicians
entailment || contradiction || a group of young band members wearing black perform on instruments including the saxophone and the trombone. || a group of athletes
entailment || entailment || a woman in a gray sweatshirt is sitting on the floor with her small dog that is wrapped in a blanket. || the woman is near her dog.
neutral || neutral || a woman in a gray sweatshirt is sitting on the floor with her small dog that is wrapped in a blanket. || the woman is wearing jeans.
contradiction || contradiction || a woman in a gray sweatshirt is sitting on the floor with her small dog that is wrapped in a blanket. || the woman is swimming in the ocean.
contradiction || contradiction || two men sitting in a living room, one wearing cultural clothing and another in a white shirt and shorts, contemplating on their bike and moped. || two men in blue suits are selling bikes and mopeds.
neutral || entailment || two men sitting in a living room, one wearing cultural clothing and another in a white shirt and shorts, contemplating on their bike and moped. || two men dressing in different types of clothing are comparing their bike and moped.
neutral || neutral || two men sitting in a living room, one wearing cultural clothing and another in a white shirt and shorts, contemplating on their bike and moped. || a man in traditional dress wants his friend to trade his moped for his bike.
entailment || entailment || three men sitting in a room looking at their one motorbike and one pedal bike. || men look at their bikes.
neutral || neutral || three men sitting in a room looking at their one motorbike and one pedal bike. || men prepare to fix their damaged bikes.
contradiction || contradiction || three men sitting in a room looking at their one motorbike and one pedal bike. || three women ride bikes through the park.
entailment || entailment || two boys running down a outer hallway of an apartment building, with one running into frame with the other running ahead down the hall. || two boys are moving at high speed.
entailment || neutral || two boys running down a outer hallway of an apartment building, with one running into frame with the other running ahead down the hall. || two boys are playing a game.
contradiction || neutral || the man in the sailor suit is holding literature. || a man is sitting in his sailor suit.
entailment || entailment || the man in the sailor suit is holding literature. || a man is holding literature.
neutral || contradiction || the man in the sailor suit is holding literature. || a chef is cooking stew.
entailment || entailment || a man in a jean jacket is reaching into a bag and walking past two women. || man walks past women
contradiction || contradiction || a man in a jean jacket is reaching into a bag and walking past two women. || boy watches movie at home
entailment || neutral || a man in a jean jacket is reaching into a bag and walking past two women. || women comment on mans looks
neutral || neutral || a man balances a unicycle using his face and both hands. || a man is working for a circus.
contradiction || contradiction || a man balances a unicycle using his face and both hands. || a man is sleeping on the floor.
entailment || neutral || a man balances a unicycle using his face and both hands. || a man is using his hands.
entailment || entailment || an oriental woman in glasses, shooting archery. || a woman wears glasses.
contradiction || neutral || an oriental woman in glasses, shooting archery. || the woman is american.
contradiction || contradiction || a man holding a pink cooler is talking to an older woman. || a woman drinks from a mason jar.
entailment || neutral || a man holding a pink cooler is talking to an older woman. || a man offers a woman a beer.
entailment || entailment || a man holding a pink cooler is talking to an older woman. || a man talks to a woman.
neutral || neutral || group of people standing on a snow covered ground, some are holding brooms, there is a dog with the group. || group of people standing on a snow covered ground after a blizzard ready to sweep off the buried cars while a dog is nearby.
neutral || contradiction || group of people standing on a snow covered ground, some are holding brooms, there is a dog with the group. || group of people at the beach enjoying a hot sunny day.
entailment || entailment || group of people standing on a snow covered ground, some are holding brooms, there is a dog with the group. || group of people with a dog nearby are outside.
entailment || entailment || a kid bored in a train with brown hair and his head lying down. || i kid is lying down on the train.
contradiction || contradiction || a kid bored in a train with brown hair and his head lying down. || a child runs and screams violently in around the train.
neutral || neutral || a kid bored in a train with brown hair and his head lying down. || a child is riding the train from new york to boston.
neutral || neutral || a person sitting on a rock beside a waterfall. || a person is taking a break from walking
entailment || entailment || a person sitting on a rock beside a waterfall. || a person is near water
neutral || contradiction || a person sitting on a rock beside a waterfall. || the person is going for a run
entailment || entailment || a woman finishing a marathon race. || a woman is finishing a race.
neutral || neutral || a woman finishing a marathon race. || the woman is in first place.
contradiction || contradiction || a woman finishing a marathon race. || the woman is not going to finish the race.
contradiction || contradiction || two men shining peoples shoes. || two men fighting over ice cream.
neutral || neutral || two men shining peoples shoes. || two men shining shoes in the plaza.
neutral || entailment || two men shining peoples shoes. || two men shining shoes.
entailment || entailment || a man examines a bike during a yard sale. || a man is at a yard sale
entailment || contradiction || a man examines a bike during a yard sale. || a woman examines a bike
neutral || neutral || a man examines a bike during a yard sale. || the man wants to buy a bike
neutral || contradiction || a young man is standing near his bike outside a shop called, "sara's old fashioned ice cream." || the man is old.
contradiction || neutral || a young man is standing near his bike outside a shop called, "sara's old fashioned ice cream." || the young man is getting ice cream.
entailment || entailment || a young man is standing near his bike outside a shop called, "sara's old fashioned ice cream." || the young man is standing.
entailment || contradiction || a man in a gray shirt and blue shorts is standing outside of an old fashioned ice cream shop named sara's old fashioned ice cream, holding his bike up, with a wood like table, chairs, benches in front of him. || a man is running on foot
entailment || neutral || a man in a gray shirt and blue shorts is standing outside of an old fashioned ice cream shop named sara's old fashioned ice cream, holding his bike up, with a wood like table, chairs, benches in front of him. || a man is riding his bike
entailment || entailment || a man in a gray shirt and blue shorts is standing outside of an old fashioned ice cream shop named sara's old fashioned ice cream, holding his bike up, with a wood like table, chairs, benches in front of him. || a man is holding a bike up
contradiction || neutral || two men work outside polishing shoes. || some men are polishing the shoes of business men.
contradiction || contradiction || two men work outside polishing shoes. || some men are watching tv together.
contradiction || entailment || two men work outside polishing shoes. || some men are polishing shoes.
entailment || entailment || a girl making a snow angel, wearing a black hat and glasses. || a girl is outside in the snow.
entailment || neutral || a girl making a snow angel, wearing a black hat and glasses. || a girl is on a snowy mountain.
contradiction || contradiction || a girl making a snow angel, wearing a black hat and glasses. || a girl is at the beach.
neutral || neutral || an elderly couple in heavy coats are looking at black and white photos displayed on a wall. || the old lovers showing black and white photographs of them in their youth.
neutral || entailment || an elderly couple in heavy coats are looking at black and white photos displayed on a wall. || octogenarians admiring the old photographs that decorated th wall.
neutral || contradiction || an elderly couple in heavy coats are looking at black and white photos displayed on a wall. || sandwiches nailed to the wall were commonly mistaken as pictures by the visiting tourists.
neutral || neutral || a shirtless man rock climbs. || a man is doing his hobby
entailment || contradiction || a shirtless man rock climbs. || a woman is climbing stairs
entailment || entailment || a shirtless man rock climbs. || a man is outside
entailment || neutral || a dog plays with a stuffed animal. || the animal is indoors.
neutral || neutral || a dog plays with a stuffed animal. || the dog is enjoying himself.
neutral || neutral || a dog plays with a stuffed animal. || the dog is chewing on his toy.
contradiction || neutral || a skateboarder sails over white steps. || the skater was elated.
neutral || entailment || a skateboarder sails over white steps. || the skater jumped high over the steps.
entailment || contradiction || a skateboarder sails over white steps. || the dog jumped over the steps.
entailment || contradiction || two men in hard hats look at a building while on the side of a street. || 2 male humans are sleeping.
entailment || neutral || two men in hard hats look at a building while on the side of a street. || 2 male humans are working construction.
entailment || entailment || two men in hard hats look at a building while on the side of a street. || 2 male humans are outside with a hat on.
neutral || neutral || a man looks back while laughing and walking. || a man walks and hears a funny joke and starts to laugh.
contradiction || contradiction || a man looks back while laughing and walking. || a man is falling down on the ground.
entailment || entailment || a man looks back while laughing and walking. || a man is looks behind his shoulder to laugh.
contradiction || neutral || a happy woman quite stands in front of a business that displays a closed sign and looks very animated. || a woman stands by a business.
contradiction || contradiction || a happy woman quite stands in front of a business that displays a closed sign and looks very animated. || a woman sings to herself.
neutral || entailment || a happy woman quite stands in front of a business that displays a closed sign and looks very animated. || a woman happily stands by a bussiness showing a closed sign and looks very colorful.
entailment || entailment || a woman in a dress is singing and having a good time. || a woman is singing.
contradiction || contradiction || a woman in a dress is singing and having a good time. || a woman is having a bad time singing.
neutral || neutral || a woman in a dress is singing and having a good time. || a woman is singing karaoke.
entailment || entailment || a dog is walking down steps. || an animal is walking.
neutral || neutral || a dog is walking down steps. || a large dog is walking down the front steps.
contradiction || contradiction || a dog is walking down steps. || a dog is laying on the couch.
entailment || entailment || women sitting at steel table next to a man standing and holding his bicep. || a women is holding a mans bicep
neutral || neutral || women sitting at steel table next to a man standing and holding his bicep. || the man and women are married and she is showing off his arms
neutral || contradiction || women sitting at steel table next to a man standing and holding his bicep. || the man accidentally knocked the women out
entailment || neutral || a large display of artifacts are in a large room and around a very large display are six people with two people near wooden benches. || people throw things at the display
entailment || entailment || a large display of artifacts are in a large room and around a very large display are six people with two people near wooden benches. || people stand in front of a display
neutral || neutral || a large display of artifacts are in a large room and around a very large display are six people with two people near wooden benches. || people stand in front of the new display
entailment || entailment || a man talks to two guards as he holds a drink. || the man is holding a drink.
contradiction || contradiction || a man talks to two guards as he holds a drink. || the man is scuba diving.
contradiction || neutral || a man talks to two guards as he holds a drink. || the prisoner is talking to two guards in the prison cafeteria.
entailment || neutral || a blue light rail tram goes down a busy street while pedestrians wait to cross. || a blue tram goes down the street while pedestrians sight-see.
neutral || entailment || a blue light rail tram goes down a busy street while pedestrians wait to cross. || pedestrians wait for the tram to pass before crossing the street.
contradiction || contradiction || a blue light rail tram goes down a busy street while pedestrians wait to cross. || a blue tram goes down an empty street with no one around.
entailment || entailment || a woman and a baby are watching a boy play. || a woman and a baby watching
neutral || neutral || a woman and a baby are watching a boy play. || the woman is his mother
contradiction || contradiction || a woman and a baby are watching a boy play. || the woman is asleep at home
neutral || neutral || a young woman wearing a yellow shirt and off-white shorts is reading a book while sitting on a park bench. || a woman reading a book while she sits on a bench waiting for the bus.
contradiction || entailment || a young woman wearing a yellow shirt and off-white shorts is reading a book while sitting on a park bench. || a woman reading a book while sitting on a bench.
contradiction || contradiction || a young woman wearing a yellow shirt and off-white shorts is reading a book while sitting on a park bench. || a man reading a book while sitting on a bench.
contradiction || entailment || it looks like the clown has fallen off the horse. || the clown has fallen off the horse.
entailment || contradiction || it looks like the clown has fallen off the horse. || the cowboy rode the bull to the buzzer.
neutral || neutral || it looks like the clown has fallen off the horse. || the sad clown fell off the horse at the state fair rodeo.
neutral || neutral || a man in a business suit screaming at the camera. || a business man is giving a heated interview for the local news.
contradiction || contradiction || a man in a business suit screaming at the camera. || a woman is yelling at a camera.
contradiction || entailment || a man in a business suit screaming at the camera. || a man is yelling at a camera.
neutral || entailment || a group of chinese people sitting and laying down together on what appears to be a front porch. || a group of chinese people are hanging out on a porch.
neutral || neutral || a group of chinese people sitting and laying down together on what appears to be a front porch. || the chinese people on the porch are family members.
contradiction || contradiction || a group of chinese people sitting and laying down together on what appears to be a front porch. || a group of african american people are eating dinner at kfc.
entailment || neutral || a child making a sand castle on the beach. || a child uses their imagination.
entailment || entailment || a child making a sand castle on the beach. || a child on a beach.
contradiction || contradiction || a child making a sand castle on the beach. || a child doing homework.
entailment || entailment || two dirt bikers- one in black and red, sporting number 64, the other in blue and white displaying a red "21"- round the corner of a tree-lined track. || there are two people and two motorbikes in this picture.
neutral || contradiction || two dirt bikers- one in black and red, sporting number 64, the other in blue and white displaying a red "21"- round the corner of a tree-lined track. || one man pushes the other man down the hill on the sled as onlookers laugh.
neutral || neutral || two dirt bikers- one in black and red, sporting number 64, the other in blue and white displaying a red "21"- round the corner of a tree-lined track. || the two bikers, both friends and competitors, round the final curve of the final race of the season.
contradiction || entailment || a man wearing a white shirt and black pants is falling down onto a bed in front of a window facing the ocean. || a man falls down onto his bed
contradiction || contradiction || a man wearing a white shirt and black pants is falling down onto a bed in front of a window facing the ocean. || a woman falls into a bed
contradiction || entailment || a man wearing a white shirt and black pants is falling down onto a bed in front of a window facing the ocean. || a man falls down onto a bed
neutral || neutral || two girls (one dressed in blue, and one dressed in pink) are racing one another on rollerskates. || the winner gets a free soda.
neutral || entailment || two girls (one dressed in blue, and one dressed in pink) are racing one another on rollerskates. || two girls are in a race.
contradiction || contradiction || two girls (one dressed in blue, and one dressed in pink) are racing one another on rollerskates. || the girls are racing on jetskis.
neutral || neutral || a young woman wearing jeans and a gray sweater walks across an empty street. || a woman is on her way home.
contradiction || contradiction || a young woman wearing jeans and a gray sweater walks across an empty street. || a young woman is standing on her hands.
entailment || entailment || a young woman wearing jeans and a gray sweater walks across an empty street. || a woman is walking.
neutral || neutral || a man with a large mustache watches the barber conduct his work through the mirror that faces him. || a man is getting his face shaved for his party.
entailment || entailment || a man with a large mustache watches the barber conduct his work through the mirror that faces him. || two people are near each other.
contradiction || contradiction || a man with a large mustache watches the barber conduct his work through the mirror that faces him. || the two men are playing a game of football.
contradiction || entailment || woman wearing green pants, blue jacket and sunhat carrying food in baskets that are hung over her shoulder. || they walk along carrying a bounty of food
neutral || neutral || woman wearing green pants, blue jacket and sunhat carrying food in baskets that are hung over her shoulder. || the friends retire home after going to the farmer's market
neutral || contradiction || woman wearing green pants, blue jacket and sunhat carrying food in baskets that are hung over her shoulder. || they fight over the food they bought
entailment || entailment || two people wearing green raincoats sit in blue bleachers that are otherwise empty. || two people sit on bleachers
neutral || neutral || two people wearing green raincoats sit in blue bleachers that are otherwise empty. || two women in raincoat sit on the bleachers an hour before the football game.
contradiction || contradiction || two people wearing green raincoats sit in blue bleachers that are otherwise empty. || three men fall a sleep on green bleachers.
entailment || entailment || a road crew is working on a road with equipment around them. || a crew is working.
entailment || neutral || a road crew is working on a road with equipment around them. || a road crew in orange vests are working on a road with equipment around them.
contradiction || contradiction || a road crew is working on a road with equipment around them. || a group of men are sitting around a conference table.
contradiction || neutral || a younger couple is walking across a crosswalk outside with a very busy bus stop behind them. || the couple are walking away from the wrong bus stop.
entailment || entailment || a younger couple is walking across a crosswalk outside with a very busy bus stop behind them. || there are people outside.
entailment || contradiction || a younger couple is walking across a crosswalk outside with a very busy bus stop behind them. || there are people inside of a store.
contradiction || contradiction || two men in black jackets behind a white handrail. || two women are wearing red
contradiction || entailment || two men in black jackets behind a white handrail. || the two me are wearing black jackets
neutral || neutral || two men in black jackets behind a white handrail. || the two men are friends
entailment || entailment || an elderly woman walking down the street. || an elderly woman is shown outside.
neutral || contradiction || an elderly woman walking down the street. || an elderly woman is enjoying coffee at home.
neutral || neutral || an elderly woman walking down the street. || an elderly woman is walking to her doctors appointment.
entailment || entailment || an old woman walking down the street. || a human in motion.
neutral || neutral || an old woman walking down the street. || a woman on her way to church.
contradiction || contradiction || an old woman walking down the street. || a young women walking down the street.
entailment || contradiction || a man holding a sign of a rainbow elephant. || the donkey sign is smeared with paint.
neutral || neutral || a man holding a sign of a rainbow elephant. || the person is a gay republican.
entailment || entailment || a man holding a sign of a rainbow elephant. || the person holds a sign.
entailment || entailment || a man playing fetch with two brown dogs. || a man has two dogs playing.
neutral || neutral || a man playing fetch with two brown dogs. || the dogs are adopted.
contradiction || contradiction || a man playing fetch with two brown dogs. || the dogs are asleep.
contradiction || neutral || a man dressed all in black puts his hands on an art sculpture. || the man is stealing a sculpture
entailment || entailment || a man dressed all in black puts his hands on an art sculpture. || there is a sculture
contradiction || contradiction || a man dressed all in black puts his hands on an art sculpture. || the man is robbing a bank
contradiction || contradiction || this child is getting a pedicure. || child getting a manicure.
contradiction || entailment || this child is getting a pedicure. || child getting pedicure.
neutral || neutral || this child is getting a pedicure. || child getting pedicure with mother.
contradiction || contradiction || a black-haired woman with her hair in a high bun is having her head shaved by another woman. || everybody is bald
entailment || entailment || a black-haired woman with her hair in a high bun is having her head shaved by another woman. || a person with hair
neutral || neutral || a black-haired woman with her hair in a high bun is having her head shaved by another woman. || a tall person with hair
contradiction || contradiction || instructor on basket weaving at fair || a basket weaver sitting at home.
neutral || entailment || instructor on basket weaving at fair || a basket weaving instructor at the fair.
neutral || neutral || instructor on basket weaving at fair || a basket weaver teaching a class at the fair.
neutral || neutral || two men, one in a blue shirt and one in a green shirt analyze a piece of paper in the middle of a workshop area. || the coworkers are discussing a work related paper in their shop.
neutral || contradiction || two men, one in a blue shirt and one in a green shirt analyze a piece of paper in the middle of a workshop area. || the guys are having a party at the park.
neutral || neutral || two men, one in a blue shirt and one in a green shirt analyze a piece of paper in the middle of a workshop area. || the men are discussing their blueprints.
neutral || neutral || a person with braided hair and a gray sweatshirt covers his mouth and sits in a purple chair. || a man sits in a chair on a dating show.
contradiction || entailment || a person with braided hair and a gray sweatshirt covers his mouth and sits in a purple chair. || a man sits in a purple chair.
contradiction || contradiction || a person with braided hair and a gray sweatshirt covers his mouth and sits in a purple chair. || a bald man sits in a red chair.
entailment || entailment || a wall hung with multicolored crosses is visible behind the group of young men as they converse. || young men are talking
neutral || neutral || a wall hung with multicolored crosses is visible behind the group of young men as they converse. || young men are talking abuot love
entailment || contradiction || a wall hung with multicolored crosses is visible behind the group of young men as they converse. || young woman are walking
entailment || neutral || a small girl is swinging. || a young lady plays outside
entailment || entailment || a small girl is swinging. || a child swings
contradiction || contradiction || a small girl is swinging. || a puppy barks at a girl
contradiction || contradiction || a group of men playing rugby on the sand. || a group of woman play volleyball in a court.
neutral || neutral || a group of men playing rugby on the sand. || a rugby team plays a match at the beach.
contradiction || entailment || a group of men playing rugby on the sand. || a group of men playing sports in the sand.
neutral || entailment || beautiful girl in white dress steps into the sunlight. || it is a sunny day.
entailment || entailment || beautiful girl in white dress steps into the sunlight. || a girl is wearing a dress.
neutral || contradiction || beautiful girl in white dress steps into the sunlight. || it is late at night.
entailment || entailment || a bundled up toddler is walking over snow. || a toddler is outside.
neutral || neutral || a bundled up toddler is walking over snow. || a toddler is very cold.
entailment || contradiction || a bundled up toddler is walking over snow. || a toddler walking in sand.
neutral || entailment || a robed dancer holding fire stick entertains a crowd. || a fire performer performing before a crowd.
contradiction || contradiction || a robed dancer holding fire stick entertains a crowd. || a man in pants and a t-shirt doing fire tricks.
neutral || neutral || a robed dancer holding fire stick entertains a crowd. || a dancer about to breath fire out before the crowd.
entailment || entailment || a topless man straps surfboards on top of his blue car. || a man secures surfboards on his car.
neutral || neutral || a topless man straps surfboards on top of his blue car. || a man is heading out to the beach for a day of surfing.
contradiction || contradiction || a topless man straps surfboards on top of his blue car. || a man is sitting on the couch.
contradiction || neutral || a woman is using a small scissors on a large net. || a woman is using small scissors on a basketball net.
entailment || contradiction || a woman is using a small scissors on a large net. || a woman is using tape on a large net.
entailment || entailment || a woman is using a small scissors on a large net. || a woman is using small cutting utensils on a large net.
contradiction || contradiction || two men heavily immersed in a conversation worth having. || the men are sitting in silence.
entailment || entailment || two men heavily immersed in a conversation worth having. || two men are talking.
neutral || contradiction || a child bowling at the bowling alley. || a professional bowling team wins the championship.
neutral || neutral || a child bowling at the bowling alley. || a girl is bowling against her daddy.
entailment || entailment || a group of people celebrating in the street. || there is a celebration going on
neutral || neutral || a group of people celebrating in the street. || people are celebrating their friend's birthday
neutral || contradiction || a group of people celebrating in the street. || people got shot by a sniper and dide
contradiction || neutral || three young men in a kitchen standing around a stove, one of them is stirring something in a pot. || the men are cooking dinner.
contradiction || contradiction || three young men in a kitchen standing around a stove, one of them is stirring something in a pot. || three guys are in a swimming pool.
